px(1, true)   py(1, true)   pz(1, true)   E(1, true)  px(2, true)   py(2, true)   pz(2, true)   E(2, true)   px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
65.1928     -170.552     193.93     266.402     85.1396     -834.184     684.815     1082.64     60.4005     -159.012     181.248     248.622     86.3539     -837.106     687.78     1086.95
-13.3325     95.6349     0.652374     96.6812     253.417     876.8     28.0957     913.132     -12.3323     96.1543     0.778297     97.1857     252.345     875.15     27.8451     911.274
680.766     579.231     72.8754     896.819     122.898     43.9192     17.5292     131.769     101.699     35.7035     14.21     108.875     701.637     587.448     76.1707     919.358
-372.169     -808.987     -1685.1     1905.92     -28.473     -116.864     -325.333     346.889     -28.2127     -114.812     -319.153     340.407     -354.871     -772.696     -1611.66     1822.31
29.79     -939.141     97.7338     944.695     -32.9136     -76.833     1.41958     83.7357     -23.9094     -56.039     0.654303     61.1072     28.6939     -941.314     97.8955     947.069
-160.64     -123.259     121.826     236.352     -749.596     -326.122     677.273     1061.59     -157.896     -120.979     119.737     232.23     -752.339     -328.402     679.362     1065.71
7.49867     -27.7267     0.232518     29.1221     -396.915     -911.88     289.447     1035.79     5.7467     -21.5115     0.126225     22.3654     -395.83     -911.14     289.311     1034.89
65.1597     -42.6522     -190.144     205.531     865.744     -367.192     -1429.85     1711.39     62.2746     -40.1884     -179.69     194.491     868.591     -369.608     -1440.16     1722.26
-5.20799     112.409     -49.738     123.125     251.644     872.486     -199.303     929.678     -4.55107     109.356     -48.4841     119.853     250.987     875.539     -200.557     932.95
-94.1573     34.6777     -32.0536     105.445     -911.576     7.47895     -82.2189     915.32     -90.8195     33.0641     -30.9626     101.664     -914.34     8.8919     -82.7925     918.291
88.4346     -12.9244     -122.204     151.474     883.939     257.374     -1143.53     1468.09     87.1236     -12.0693     -120.482     149.314     633.162     183.398     -817.555     1050.38
-61.8891     825.379     -166.798     844.349     -46.138     180.535     11.7353     186.769     -30.5739     110.997     7.61717     115.43     -77.3968     894.673     -162.811     915.405
17.6269     -35.538     -3.61672     40.1221     689.685     -682.428     433.167     1062.56     16.4063     -33.2351     -3.72141     37.5882     507.4     -502.422     318.534     781.915
-14.3724     -102.953     119.662     158.581     64.1289     -900.779     617.216     1093.84     -13.661     -101.305     117.279     155.728     63.4175     -902.428     619.599     1096.7
129.713     103.47     -64.2383     177.992     761.285     374.05     -108.42     855.13     116.135     93.1481     -57.9213     159.855     774.863     384.372     -114.737     873.266
-790.567     152.491     -606.313     1007.91     -206.711     -12.4056     -112.941     235.928     -201.458     -11.826     -110.223     230.041     -759.942     144.976     -582.795     968.842
722.291     -468.387     654.646     1081.52     94.0483     -122.158     108.145     188.377     87.2443     -114.082     101.412     175.888     729.095     -476.463     661.379     1094
100.189     118.238     -3.1732     155.085     572.116     646.954     -315.677     919.533     89.1599     104.912     -1.84653     137.781     576.495     652.266     -316.155     926.388
-120.034     -33.2544     -136.164     184.602     -899.052     34.4001     -1281.97     1566.19     -115.701     -32.3092     -131.763     178.383     -903.385     33.4549     -1286.37     1572.41
-163.339     114.253     174.313     264.842     -550.287     611.346     961.842     1265.59     -158.569     111.848     169.596     257.847     -555.057     613.751     966.559     1272.59
864.026     197.095     -477.484     1006.68     128.492     6.48621     -25.0021     131.15     125.669     6.52439     -24.3577     128.352     866.849     197.056     -478.128     1009.48
-852.377     -58.7304     1560.69     1779.26     -158.988     41.6168     326.493     365.554     -138.734     37.7879     284.63     318.899     -872.817     -54.8913     1602.87     1826.29
-192.06     39.4174     84.5194     213.559     -725.977     382.282     473.571     947.351     -181.593     36.7682     79.9289     201.843     -736.444     384.932     478.161     959.067
-57.1491     -17.3194     -49.312     77.5931     -897.805     -339.578     -238.672     989.118     -56.7218     -17.0038     -47.697     76.2462     -897.411     -339.796     -239.538     989.222
-44.337     47.669     -58.7669     87.8333     -571.183     741.23     -307.425     984.989     -44.4261     48.2952     -58.7921     88.331     -571.093     740.604     -307.399     984.492
-51.8987     65.5093     -24.1423     87.1254     -838.217     411.23     -228.639     961.257     -51.3219     64.6455     -23.6784     86.0798     -838.793     412.093     -229.102     962.303
28.3802     8.73263     -24.1295     38.5612     934.342     285.383     -37.3719     977.68     26.6672     8.34318     -21.5859     35.5721     931.453     284.643     -37.131     974.729
9.8075     39.761     65.7013     77.5681     347.487     895.633     671.09     1171.87     9.98163     39.6023     63.734     75.9037     346.97     894.566     670.624     1170.67
-712.601     -665.451     -237.462     1003.51     -8.39614     -34.8527     2.47734     36.2544     -9.60073     -33.1091     1.82454     34.9197     -709.687     -663.6     -236.301     1000.09
-371.048     -724.65     -14.4263     814.264     -47.7378     -195.521     36.8676     204.67     -48.9557     -197.789     36.8694     207.158     -223.412     -433.741     -9.34574     488.081
-721.655     485.429     739.053     1141.34     -127.458     64.5467     190.845     238.447     -110.15     55.2508     164.597     205.714     -738.963     494.725     765.302     1174.07
-776.495     -354.154     -102.38     859.578     -138.39     -83.7932     -72.1076     177.188     -131.654     -80.071     -68.1724     168.589     -782.585     -357.884     -106.114     867.455
-828.281     288.985     -198.881     899.521     -108.475     89.6866     -33.7237     144.813     -68.0131     59.2369     -21.7491     92.8206     -868.956     319.613     -210.921     951.799
-244.387     924.573     187.89     974.621     6.27049     54.7556     33.9495     64.9085     5.04533     33.2249     20.0022     39.2796     -243.418     923.705     187.637     973.638
13.2175     52.8691     -4.66878     54.9061     680.769     674.733     -53.398     959.993     12.4771     49.5201     -4.40556     51.4654     680.955     676.666     -53.2345     961.685
-86.5898     -71.5407     23.7124     114.896     -429.169     -791.637     114.167     907.707     -78.8245     -65.4497     21.4255     104.82     -433.374     -794.896     115.44     913.107
-25.2683     155.525     101.879     187.694     -279.676     807.277     275.808     897.779     -24.6254     150.072     98.5545     181.299     -280.311     812.692     279.134     904.135
-206.385     -845.766     -1602.88     1824.05     -65.039     -129.031     -194.155     242.071     -57.9614     -115.736     -173.574     216.586     -212.684     -857.672     -1621.28     1846.84
444.027     726.836     -1658.86     1864.75     54.1011     151.562     -230.146     280.871     54.0318     149.121     -226.244     276.354     413.161     677.508     -1545.49     1737.4
-7.54837     -13.957     -11.6714     20.274     429.436     -900.824     -401.975     1075.87     -6.09461     -12.0541     -10.4557     17.2701     427.632     -898.671     -401.839     1073.72
-52.2622     167.775     135.761     222.112     5.96071     841.062     547.116     1003.38     -50.211     160.851     130.237     213.052     3.90961     847.985     552.64     1012.44
-0.419252     94.3414     -46.4648     105.273     366.258     847.966     -552.212     1076.17     0.206718     92.4187     -46.3956     103.647     359.925     835.12     -542.644     1059.16
-17.2242     811.952     -816.51     1151.64     -44.3803     190.213     -266.859     330.738     -43.2018     185.417     -260.275     322.529     -18.0059     780.238     -786.143     1107.9
-115.01     -57.3592     -20.4738     130.229     -634.551     -608.704     -335.048     940.987     -110.4     -54.9075     -19.6668     125.009     -639.161     -611.156     -335.855     946.207
676.124     -492.555     681.091     1078.73     168.064     -53.6278     155.974     235.526     141.716     -45.7219     130.445     198.001     679.035     -493.311     683.397     1082.49
-158.487     110.616     -108.761     221.824     -685.892     444.128     -777.07     1127.63     -106.745     75.7884     -72.7238     149.8     -708.463     458.785     -793.807     1159.28
-90.7954     -149.504     -95.6318     199.408     -314.03     -779.105     -205.796     864.866     -54.5183     -89.0995     -57.5392     119.304     -334.258     -812.841     -226.187     909.164
716.001     665.972     724.912     1217.25     14.1605     25.6867     1.65408     29.7674     14.7006     24.4777     2.50034     29.3682     702.135     653.882     711.304     1194.45
142.299     869.779     -368.14     955.152     -6.10072     137.378     -103.773     172.342     -5.94841     130.46     -98.7349     163.807     131.839     815.673     -346.739     896.388
14.3725     -12.9397     -9.0044     21.8661     983.676     159.847     -463.805     1099.23     11.9696     -9.11341     -7.48341     16.9763     982.011     159.448     -463.928     1097.87
-12.6534     150.001     -211.353     259.526     -294.606     808.631     -906.351     1249.87     -8.7029     104.499     -147.415     180.93     -263.552     729.687     -820.698     1129.58
-830.674     -93.8319     -119.441     844.46     -184.962     30.3293     -56.269     195.755     -112.291     20.0934     -33.5641     118.948     -849.926     -91.0445     -124.852     864.627
-53.9478     -113.511     169.77     211.282     -610.49     -647.875     921.417     1281.2     -47.1595     -100.816     150.392     187.171     -617.459     -660.835     941.552     1306.12
65.4826     -163.239     -286.677     336.366     264.611     -787.388     -907.809     1230.5     56.5371     -143.791     -252.396     295.961     268.269     -795.464     -921.954     1247.19
