px(1, true)   py(1, true)   pz(1, true)   E(1, true)  px(2, true)   py(2, true)   pz(2, true)   E(2, true)   px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-0.0255936     -49.5181     92.361     104.908     -21.599     -62.8885     -10.8854     67.55     -0.202768     -28.464     48.7825     56.6158     -17.3934     -46.0505     -7.48687     49.9346
79.7258     -51.7066     507.426     516.27     23.7138     41.8005     205.913     211.501     23.2429     40.8724     202.015     207.523     77.4853     -49.2103     495.64     504.156
30.1569     112.59     -162.161     199.763     -0.514933     -0.193042     13.1747     14.0327     11.2205     32.3761     -47.0823     58.2434     18.7925     78.8486     -113.198     139.32
25.3622     -81.7136     -6.80672     85.9636     32.737     -4.43514     -69.712     77.2928     18.7657     -3.84449     -35.7959     40.616     24.7448     -79.2994     -6.84994     83.559
-77.9593     41.9258     40.1624     97.3215     8.32709     52.6378     89.0557     103.894     7.83583     51.9431     89.2348     103.771     -77.6108     42.6669     40.3821     97.6846
-115.995     22.9041     -57.1063     131.391     18.7398     8.67679     -27.7185     34.8973     -46.9631     10.9742     -21.6568     53.0067     -67.4823     11.4596     -34.9664     77.0015
83.1198     13.8152     -42.5295     94.5069     22.4782     28.8061     43.5447     57.046     8.26313     13.5503     17.1535     23.457     45.459     7.77351     -24.4656     52.2333
-30.4782     70.2105     -288.313     298.339     -64.8892     -23.3813     -243.433     253.061     -62.7981     -22.3668     -235.856     245.19     -30.279     69.6734     -286.024     296.047
-70.1013     -35.0941     491.474     497.711     -30.0784     50.2501     637.867     640.568     -27.2868     46.0917     587.523     589.997     -56.2205     -28.3655     385.996     391.152
-37.6     -21.3524     -65.4953     78.628     -45.0155     91.8624     -226.103     248.215     -36.2248     -20.4153     -63.0064     75.6816     -44.7808     91.2803     -225.31     247.261
-44.8178     -81.1031     178.571     201.239     5.84522     -29.3809     299.526     301.059     5.46645     -27.6546     263.681     265.232     -43.5571     -78.3622     172.695     194.674
43.9161     125.47     -373.351     396.34     8.52648     -19.2464     -48.2496     52.8601     5.34565     -10.5557     -29.1937     31.5704     42.4532     123.291     -366.725     389.323
2.41461     -16.6685     9.41759     19.8847     -94.8547     76.992     -70.1982     140.982     1.74619     -11.5977     6.0102     13.2533     -63.2309     51.1436     -45.9206     93.5046
43.2905     18.9479     -91.1805     102.811     -3.66512     74.055     -484.887     490.547     32.1288     14.0324     -68.5298     77.0611     -3.7758     72.4663     -474.082     479.674
5.03777     -12.4596     -5.76988     15.3933     -10.1197     115.9     132.675     176.525     3.66161     -9.18239     -4.42185     11.3514     -9.75528     115.176     131.281     175.091
-48.7669     -48.6211     -139.257     155.428     -25.2082     -40.5569     4.8872     48.2415     -19.6956     -33.2361     3.23135     38.8924     -47.4544     -46.746     -135.199     150.831
-75.3081     -49.659     -460.93     469.699     -31.7562     9.92096     -33.3006     47.3166     -29.8758     8.9517     -31.8036     44.8142     -74.8534     -48.8599     -458.688     467.372
2.77245     106.184     328.568     345.344     -10.3074     7.1501     334.665     334.935     1.65147     34.0091     111.064     116.173     0.461144     69.0033     209.507     220.591
-32.805     71     131.577     153.143     -51.8647     -1.56322     12.4478     53.5759     -49.5857     -1.29334     12.1615     51.3557     -27.7539     58.3051     111.329     129.204
-96.3291     -44.7734     -31.9213     111.022     -7.74763     23.3931     -50.8949     56.7503     -2.69527     14.2039     -29.1033     32.5671     -96.2781     -44.6327     -32.0764     111.012
7.73254     31.4178     51.8291     61.2875     67.9969     38.0364     -30.2389     83.7125     7.26227     29.5931     48.6926     57.6295     67.4316     37.648     -30.0576     83.8646
10.9266     24.9821     104.747     108.344     -121.551     20.91     231.919     262.719     9.8508     22.4741     97.2568     100.398     -119.323     20.6014     226.943     257.31
-25.5095     94.6687     -17.2823     99.6725     -15.0929     16.1503     55.096     59.5587     -8.9831     9.47986     26.8556     30.0839     -25.5793     92.7554     -16.5766     97.8722
36.4256     2.79973     55.2431     66.4041     -2.41504     -98.9359     49.8281     110.905     34.6188     2.68238     51.8572     62.6297     -1.6304     -97     48.3777     108.579
21.9945     5.5388     -22.8843     32.5755     81.4077     -31.9352     99.4189     132.492     19.0948     3.79374     -20.424     28.5019     79.6313     -31.4021     96.9472     129.444
-86.6917     -40.1976     78.724     123.902     18.371     -40.2939     78.5293     90.2828     17.5062     -39.4018     76.5431     88.0171     -85.0676     -39.2027     77.495     121.83
-75.7945     83.0302     27.2141     115.769     25.2518     4.16828     -8.60837     27.4258     11.9893     1.96635     -4.77257     13.1272     -73.7097     81.2831     27.1549     113.335
22.7637     -93.2415     -114.287     149.321     -27.1603     -23.4276     -170.323     174.125     -25.3157     -21.6875     -156.723     160.33     22.2982     -90.3347     -111.656     145.463
48.6611     -10.8666     112.861     123.477     -3.72637     -82.9432     65.0092     105.559     48.1983     -10.7     110.844     121.442     -3.34797     -82.8896     65.8901     106.299
8.02329     -32.8353     -15.0365     37.305     -62.0825     -56.2104     98.8884     129.676     7.12347     -28.9549     -12.5456     32.4752     -61.2     -55.6478     98.0479     128.413
-74.3999     -34.6594     -632.006     637.331     -34.3936     17.2943     -67.7807     78.0978     -24.3789     12.8887     -51.8059     58.9112     -74.5708     -33.8903     -628.818     634.178
-47.2255     -91.7873     -230.444     252.553     38.8735     -22.5014     -166.905     172.91     27.8548     -14.8885     -122.81     126.854     -45.818     -90.0127     -225.672     247.329
-74.8204     -3.69585     -17.0672     76.981     -31.257     -18.5049     71.2566     80.1247     -28.7519     -17.6895     65.6037     73.9189     -73.5231     -3.52096     -16.9519     75.7217
18.2434     -12.8452     124.535     126.609     -19.6825     124.199     493.631     509.418     13.8563     -10.9047     89.2164     90.9673     -19.6359     122.555     486.914     502.534
5.20939     -91.7889     391.936     402.603     -6.52928     -14.9864     582.958     583.207     -6.37728     -12.8291     501.712     501.933     4.83524     -81.7714     352.352     361.804
55.7959     76.5069     204.87     225.746     -41.2552     25.6666     112.991     123.089     -41.0796     25.8393     112.898     123.092     54.2547     74.8078     200.658     220.975
82.3496     70.4898     -74.1072     131.397     18.9188     -33.2891     -27.485     47.3767     18.8869     -33.1038     -27.3246     47.2697     81.6099     69.7717     -73.4334     130.215
-1.51804     44.7344     159.122     165.367     -71.4434     34.2466     65.0904     102.649     -1.85855     45.3442     160.133     166.583     -60.067     28.6694     55.3863     86.7061
-25.7717     -24.4086     76.8996     84.8325     91.2086     -53.8127     166.644     197.505     -20.9335     -18.658     59.9985     66.3386     90.1938     -53.7842     166.345     197.077
25.9183     -74.8317     -172.369     189.752     55.2156     8.04376     -46.3337     72.6864     53.7801     7.13415     -45.2345     70.9879     26.1936     -74.5529     -170.064     187.601
26.4635     30.7899     -340.857     343.3     62.5093     21.106     -96.3466     116.87     20.9924     23.9326     -270.385     272.292     57.257     19.6642     -90.9613     109.474
18.0962     88.6443     -382.359     392.946     -40.1635     21.5764     -69.1198     82.9411     -39.6469     21.3416     -69.2648     82.8784     17.4312     86.3252     -372.628     382.94
10.5366     -16.4959     30.6462     36.6792     87.5437     46.6692     -39.4679     106.877     7.7747     -10.2116     18.7244     22.8114     86.0957     45.7322     -38.6212     104.991
