px(Higgs)  py(Higgs)  pz(Higgs)  energ(Higgs)  masa(Higgs)  px(cest_1)  py(cest_1)  pz(cest_1)  energ(cest_1)  masa(cest_1)  px(cest_2)  py(cest_2)  pz(cest_2)  energ(cest_2)  masa(cest_2)
-69.6322     94.5636     129.218     201.216     99.998     -77.9593     41.9258     40.1624     97.3215     4.8     8.32709     52.6378     89.0557     103.894     4.8
-97.2554     31.5809     -84.8247     166.288     100.003     -115.995     22.9041     -57.1063     131.391     4.8     18.7398     8.67679     -27.7185     34.8973     4.8
105.598     42.6213     1.01525     151.553     99.9987     83.1198     13.8152     -42.5295     94.5069     4.8     22.4782     28.8061     43.5447     57.046     4.8
-95.3674     46.8293     -531.746     551.4     99.9994     -30.4782     70.2105     -288.313     298.339     4.8     -64.8892     -23.3813     -243.433     253.061     4.8
-100.18     15.1559     1129.34     1138.28     100.001     -70.1013     -35.0941     491.474     497.711     4.8     -30.0784     50.2501     637.867     640.568     4.8
-82.6155     70.51     -291.599     326.843     99.999     -37.6     -21.3524     -65.4953     78.628     4.8     -45.0155     91.8624     -226.103     248.215     4.8
-38.9725     -110.484     478.097     502.298     100.001     -44.8178     -81.1031     178.571     201.239     4.8     5.84522     -29.3809     299.526     301.059     4.8
52.4426     106.223     -421.6     449.2     99.9997     43.9161     125.47     -373.351     396.34     4.8     8.52648     -19.2464     -48.2496     52.8601     4.8
-92.4401     60.3235     -60.7806     160.867     99.999     2.41461     -16.6685     9.41759     19.8847     4.8     -94.8547     76.992     -70.1982     140.982     4.8
39.6254     93.0028     -576.068     593.357     99.9966     43.2905     18.9479     -91.1805     102.811     4.8     -3.66512     74.055     -484.887     490.547     4.8
-5.08197     103.441     126.905     191.918     100.009     5.03777     -12.4596     -5.76988     15.3933     4.8     -10.1197     115.9     132.675     176.525     4.8
-73.9751     -89.178     -134.37     203.669     100.004     -48.7669     -48.6211     -139.257     155.428     4.8     -25.2082     -40.5569     4.8872     48.2415     4.8
-107.064     -39.738     -494.231     517.016     99.9947     -75.3081     -49.659     -460.93     469.699     4.8     -31.7562     9.92096     -33.3006     47.3166     4.8
-7.53498     113.334     663.233     680.279     99.9992     2.77245     106.184     328.568     345.344     4.8     -10.3074     7.1501     334.665     334.935     4.8
-84.6698     69.4368     144.025     206.719     99.9953     -32.805     71     131.577     153.143     4.8     -51.8647     -1.56322     12.4478     53.5759     4.8
-104.077     -21.3804     -82.8162     167.773     100     -96.3291     -44.7734     -31.9213     111.022     4.8     -7.74763     23.3931     -50.8949     56.7503     4.8
75.7294     69.4542     21.5901     145     100     7.73254     31.4178     51.8291     61.2875     4.8     67.9969     38.0364     -30.2389     83.7125     4.8
-110.624     45.8922     336.666     371.063     100.001     10.9266     24.9821     104.747     108.344     4.8     -121.551     20.91     231.919     262.719     4.8
-40.6024     110.819     37.8137     159.231     99.9766     -25.5095     94.6687     -17.2823     99.6725     4.8     -15.0929     16.1503     55.096     59.5587     4.8
34.0106     -96.1361     105.071     177.309     99.9992     36.4256     2.79973     55.2431     66.4041     4.8     -2.41504     -98.9359     49.8281     110.905     4.8
103.402     -26.3964     76.5346     165.068     100.005     21.9945     5.5388     -22.8843     32.5755     4.8     81.4077     -31.9352     99.4189     132.492     4.8
-68.3207     -80.4916     157.253     214.185     100     -86.6917     -40.1976     78.724     123.902     4.8     18.371     -40.2939     78.5293     90.2828     4.8
-50.5427     87.1985     18.6057     143.195     100.002     -75.7945     83.0302     27.2141     115.769     4.8     25.2518     4.16828     -8.60837     27.4258     4.8
-4.3966     -116.669     -284.611     323.446     99.9165     22.7637     -93.2415     -114.287     149.321     4.8     -27.1603     -23.4276     -170.323     174.125     4.8
44.9347     -93.8098     177.87     229.036     100.002     48.6611     -10.8666     112.861     123.477     4.8     -3.72637     -82.9432     65.0092     105.559     4.8
-54.0592     -89.0457     83.852     166.981     99.9995     8.02329     -32.8353     -15.0365     37.305     4.8     -62.0825     -56.2104     98.8884     129.676     4.8
-108.793     -17.3651     -699.787     715.429     99.9998     -74.3999     -34.6594     -632.006     637.331     4.8     -34.3936     17.2943     -67.7807     78.0978     4.8
-8.35202     -114.289     -397.349     425.462     100     -47.2255     -91.7873     -230.444     252.553     4.8     38.8735     -22.5014     -166.905     172.91     4.8
-106.077     -22.2007     54.1893     157.106     100.002     -74.8204     -3.69585     -17.0672     76.981     4.8     -31.257     -18.5049     71.2566     80.1247     4.8
-1.43904     111.354     618.166     636.027     100.001     18.2434     -12.8452     124.535     126.609     4.8     -19.6825     124.199     493.631     509.418     4.8
-1.31989     -106.775     974.894     985.81     100.001     5.20939     -91.7889     391.936     402.603     4.8     -6.52928     -14.9864     582.958     583.207     4.8
14.5407     102.174     317.862     348.835     99.995     55.7959     76.5069     204.87     225.746     4.8     -41.2552     25.6666     112.991     123.089     4.8
