px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
30.905     -58.4523     -52.6412     84.5156     15.3533     -28.047     -23.3617     39.5996
-27.9967     45.0271     307.329     311.869     -15.3614     24.5476     170.416     172.858
3.79472     54.0066     -57.6841     79.1111     11.4052     0.959544     -5.92799     12.8895
-19.8354     17.0291     133.215     135.756     -1.07571     15.3714     15.5157     21.8677
-11.9698     -14.3419     11.3672     21.8729     -15.5466     -19.4125     15.0764     29.0833
-34.082     12.587     51.5555     63.0713     -25.8156     7.64071     39.6762     47.9483
1.90854     27.7268     -15.9387     32.0384     1.7053     34.8239     -18.7517     39.5884
-11.4075     12.0026     26.6763     31.4117     -9.62418     10.6794     24.0997     28.0622
38.2573     -40.4063     -111.789     124.873     7.89122     7.61038     -41.1024     42.5393
-8.39677     -49.6437     -63.694     81.1907     -4.7009     -32.5118     -40.5005     52.1503
11.4234     -7.10718     -20.9823     24.9428     39.578     -25.613     -69.2635     83.7847
39.1756     -23.0677     146.045     152.957     8.19683     7.20126     15.574     19.0157
-29.0988     -26.0888     -80.9895     89.9259     -14.4536     -10.0718     -37.1472     41.1128
5.02536     34.965     -61.8604     71.2356     0.892405     16.4212     -26.4529     31.1521
25.9655     34.1786     -457.327     459.337     18.4584     -16.3623     -208.138     209.595
-39.0672     30.7211     -9.83206     50.6626     -13.3666     10.7601     -3.00976     17.4468
52.5014     14.0324     -288.229     293.308     25.398     -51.2922     -211.331     218.945
11.9422     -3.59771     45.7366     47.4067     31.1691     -11.5414     115.1     119.803
13.1078     21.5575     -240.279     241.6     8.89614     13.1817     -150.665     151.502
-1.68203     9.96956     11.0466     14.9756     -1.85243     10.6746     12.4732     16.5221
-10.5279     -6.3084     -3.16806     12.6851     -56.2349     -36.7027     -11.7102     68.1659
-17.3009     -33.7573     -14.3612     40.5601     -8.9184     -4.72892     11.5561     15.3448
-17.2344     18.4779     35.2303     43.3547     -16.0035     18.7113     32.3931     40.6883
13.2599     -2.36015     16.8141     21.549     0.551796     -11.65     0.847648     11.6946
-17.6224     17.3416     27.0907     36.6767     -9.21916     8.94828     14.595     19.4447
-3.33691     -11.3953     0.768206     11.909     -5.27837     -23.5887     0.237893     24.1733
-8.36078     15.1386     62.9194     65.253     -17.6903     36.2693     131.453     137.507
8.63991     -16.6583     205.623     206.478     11.6137     -24.617     275.931     277.27
50.7421     17.1745     -106.813     119.494     8.45877     -24.663     -39.6579     47.4612
-17.6102     3.96255     -40.5755     44.4094     9.07575     66.1356     -125.749     142.369
19.5705     33.0142     -9.61977     39.5661     5.25032     9.01302     -2.85892     10.8562
3.29792     56.9999     705.268     707.575     -24.9623     6.5978     634.521     635.047
16.6863     32.2434     50.9697     62.5779     12.1589     1.02962     -1.53037     12.2988
36.2963     -22.2176     67.6245     79.9007     7.69065     6.71303     6.41273     12.0657
15.7499     -5.39395     -1.4783     16.7399     39.3348     -13.1658     -2.26077     41.5413
12.7798     11.8329     -43.427     46.7895     8.52608     7.28628     -25.2946     27.6695
24.9689     -44.8519     8.22254     51.988     17.057     -25.7519     6.89452     31.6486
28.0001     -11.5001     31.8275     43.9232     9.619     -15.5093     93.1101     94.8818
-10.7111     -43.4295     -118.775     126.919     -22.7478     -1.8103     -156.168     157.827
2.21634     29.5253     250.503     252.246     0.87567     10.0754     88.2273     88.8052
-23.0888     18.3322     -21.5808     36.5362     -18.6623     14.0634     -13.9297     27.2047
32.5372     4.26229     63.0795     71.1045     19.5088     -26.2224     11.269     34.5716
-22.6028     -1.33123     -27.836     35.8851     -51.1945     -0.773817     -62.0921     80.4792
-16.8017     -50.837     -148.996     158.324     -24.0037     4.42576     -34.9202     42.605
-65.3546     -12.4301     -961.446     963.744     -23.2939     -3.09617     -360.286     361.051
-22.2807     1.05632     -76.5388     79.7228     -24.4243     1.45282     -88.2511     91.5801
-10.6087     21.108     -111.349     113.828     17.3684     15.1209     -47.0161     52.3528
13.8718     54.3659     -181.193     189.681     20.2001     11.1019     -311.103     311.956
-12.2809     -9.22979     -21.8312     26.695     -20.8668     14.3204     -97.8397     101.06
21.0013     -52.6356     303.278     308.528     27.7401     7.05201     157.022     159.609
-22.5548     -16.1866     45.9961     53.7249     -9.18245     -7.25492     21.2486     24.2585
44.425     -34.5685     -136.679     147.817     17.5847     -12.5521     -50.9253     55.3188
-10.7346     7.68686     -6.67085     14.801     -28.1173     19.386     -18.6403     38.9083
37.1943     -57.0454     -9.97215     68.8261     10.3815     -14.795     -4.16981     18.549
38.365     -8.29039     28.132     48.2909     28.0513     -8.15136     20.7414     35.8263
18.6788     -26.7856     278.455     280.363     7.7725     -12.6308     131.99     132.821
-7.33637     6.87144     135.24     135.613     -30.4986     -29.8877     763.937     765.129
-21.2622     -10.4071     39.8448     46.3464     -10.4954     -28.5064     230.985     232.974
-8.93786     6.03025     -24.2649     26.5571     -39.6303     27.0926     -106.871     117.158
-24.8663     1.62277     -13.5036     28.3583     -0.832431     9.99185     -2.85257     10.4253
5.60646     -24.8021     126.522     129.052     -70.5629     -26.3086     457.129     463.291
