px(1, true)   py(1, true)   pz(1, true)   E(1, true)  px(2, true)   py(2, true)   pz(2, true)   E(2, true)   px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-4.52116     -121.505     1322.51     1328.09     4.52116     121.505     -28.5574     124.898     -5.63968     -117.546     1303.97     1309.36     5.18847     117.878     -30.356     122.233
-92.1785     -41.9323     181.959     208.241     92.1785     41.9323     245.116     265.211     -89.2223     -41.9556     177.062     203.287     96.4588     40.455     257.645     278.475
-31.8432     128.454     -133.459     187.951     31.8432     -128.454     85.4535     157.534     31.6537     -128.781     84.7091     158.758     -30.5726     130.355     -134.329     190.526
-135.403     -51.4334     -827.52     840.1     135.403     51.4334     -679.316     694.586     134.537     49.3252     -681.089     696.332     -135.778     -51.6594     -823.129     836.071
-103.576     35.3918     -77.0824     133.874     103.576     -35.3918     284.632     304.953     -101.124     35.0453     -77.0174     132.177     101.396     -37.1858     286.035     305.988
-271.459     118.454     318.75     435.113     271.459     -118.454     -61.0002     302.395     -272.829     117.854     321.181     438.674     276.555     -115.968     -59.7257     307.826
107.552     -61.2579     -1304.77     1310.63     -107.552     61.2579     -71.2235     142.803     -110.3     62.2325     -75.093     148.038     111.395     -61.446     -1331.32     1337.53
134.013     33.4762     43.3489     144.773     -134.013     -33.4762     33.8719     142.223     -132.864     -34.4445     33.4318     142.014     135.59     33.4863     44.0309     149.726
26.1025     -104.492     -118.501     160.132     -26.1025     104.492     -3267.78     3269.56     -24.4851     101.966     -3260.3     3262.02     26.1852     -103.94     -117.481     159.545
-107.941     21.5827     433.448     447.208     107.941     -21.5827     2437.6     2440.08     -105.131     20.5872     420.659     434.262     106.296     -20.077     2443.4     2445.83
-73.8566     68.4783     576.307     585.042     73.8566     -68.4783     1407.2     1410.8     -71.2108     66.318     574.679     583.053     72.8213     -68.2877     1391.92     1395.6
131.944     44.7454     -995.902     1005.6     -131.944     -44.7454     -622.229     637.637     -128.452     -44.959     -607.807     622.998     130.711     43.7373     -1000.22     1009.93
65.8114     -110.674     149.691     197.452     -65.8114     110.674     -11.221     129.251     64.5296     -111.382     148.121     196.713     -67.6273     116.336     -11.6536     136.383
123.179     78.4566     118.451     188.041     -123.179     -78.4566     286.215     321.322     -121.868     -77.4025     285.393     320.388     122.697     78.8602     121.951     191.378
-206.986     -94.4447     -1371.02     1389.76     206.986     94.4447     -153.245     274.312     205.36     91.6352     -153.394     272.917     -205.211     -93.3383     -1368.54     1387.12
185.462     -24.0772     113.079     218.547     -185.462     24.0772     981.438     999.098     -184.09     21.9931     988.088     1005.66     186.548     -25.6652     116.769     222.861
115.359     -1.45496     120.639     166.924     -115.359     1.45496     -61.6265     130.796     111.34     -2.69693     121.25     165.104     -118.608     0.452058     -66.3018     137.384
-105.325     31.5499     109.943     155.487     105.325     -31.5499     398.083     412.987     -105.053     29.3872     110.213     155.788     110.021     -33.1521     426.228     441.83
