px(1, true)   py(1, true)   pz(1, true)   E(1, true)  px(2, true)   py(2, true)   pz(2, true)   E(2, true)   px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-74.5735     1011.28     829.575     1310.14     -63.8575     181.653     133.887     234.573     -74.4951     1009     827.876     1307.29     -63.9013     183.856     135.677     237.264
424.351     -101.145     -445.608     623.613     701.23     -337.07     -784.809     1105.12     704.022     -339.052     -789.678     1110.94     420.567     -100.719     -441.863     618.275
-157.195     930.08     224.905     969.724     -94.8663     247.547     105.078     285.208     -95.0243     247.872     105.472     285.648     -148.658     883.597     214.479     921.327
373.023     -788.912     -161.519     887.49     199.939     -263.985     -97.2805     345.182     374.163     -789.949     -161.911     888.95     198.824     -262.654     -96.6155     343.297
-19.1705     -166.878     -125.992     210.031     68.3951     -1046.06     -497.172     1160.23     -12.2312     -107.514     -82.1791     135.876     66.4133     -1046.97     -496.569     1160.67
142.314     -273.844     215.928     376.685     257.529     -870.487     489.073     1031.16     121.847     -235.042     186.842     324.04     258.928     -874.188     491.823     1035.92
-510.354     -861.481     32.1671     1001.83     -146.738     -145.506     -14.1918     207.192     -509.449     -858.621     32.032     998.897     -109.875     -110.176     -9.93446     155.916
138.457     -71.449     -207.803     259.77     1004.9     -301.357     -1008.59     1455.3     956.727     -287.318     -961.985     1386.83     132.929     -68.8644     -200.083     249.892
560.733     79.4363     -119.749     578.873     634.153     44.6025     -9.4285     635.808     349.029     50.9499     -75.0339     360.621     345.182     25.0889     -5.06546     346.129
299.733     413.409     369.715     630.444     289.067     647.279     505.514     870.688     299.433     414.258     369.261     630.574     288.359     646.091     504.536     868.989
787.631     -13.428     -527.958     948.317     416.972     82.3882     -265.029     500.916     787.723     -13.9342     -528.255     948.554     417.13     81.9562     -265.452     501.177
-119.988     -933.46     346.84     1003.03     29.7707     -281.752     123.784     309.218     -119.82     -934.375     347.39     1004.04     29.5976     -280.571     122.981     307.767
-40.5531     122.026     -229.595     263.195     -444.544     982.668     -1314.22     1700.14     -39.8135     119.907     -226.22     259.111     -443.551     983.103     -1316.68     1702.02
505.712     409.721     440.374     785.856     462.887     327.666     524.836     772.726     506.847     411.209     442.78     788.695     462.024     327.025     524.007     771.359
-41.9049     58.9701     -35.6832     80.8073     -357.871     1072.75     -985.413     1499.97     -42.2606     60.2593     -36.8314     82.3024     -320.514     957.843     -880.285     1339.81
-38.7223     -45.939     50.7309     78.7812     -268.684     -1135.17     1037.53     1561.18     -39.2313     -48.0391     52.2263     81.0829     -261.957     -1101.39     1007.64     1515.59
665.527     -560.088     -725.151     1132.47     274.103     -217.053     -196.262     400.981     662.175     -558.127     -722.655     1127.92     245.531     -195.108     -175.754     359.502
676.624     334.155     -579.146     951.269     368.946     280.866     -306.083     555.623     354.537     268.294     -294.796     533.463     669.989     329.223     -574.819     942.173
-776.146     -32.8295     604.101     984.094     -425.108     -54.3559     231.524     487.133     -425.353     -54.1064     232.353     487.689     -775.719     -32.7276     605.445     984.568
-23.7253     258.311     -11.0111     259.676     -238.922     914.086     -221.897     970.514     -24.3249     259.877     -11.3681     261.26     -237.617     912.42     -221.447     968.51
3.97935     -16.6495     -22.3649     28.5705     921.573     -761.31     -674.116     1372.35     4.18073     -16.4644     -21.3182     27.2584     921.892     -760.532     -671.916     1371.05
-14.5793     -304.969     442.583     537.7     -254.774     -873.523     1349.24     1627.4     -226.428     -774.23     1195.69     1442.35     -13.5901     -290.248     418.732     509.672
-347.047     845.316     -60.5797     915.802     -48.4048     302.183     -5.19475     306.117     -343.982     837.944     -59.9204     907.78     -43.7495     268.093     -4.82019     271.682
990.089     -242.525     -1474.16     1792.28     182.551     -58.5973     -194.991     273.501     993.675     -244.145     -1482.45     1801.29     179.259     -57.3165     -191.233     268.308
-1127.08     -322.324     125.892     1179.01     -31.9787     -16.3439     -16.6346     39.8686     -1127.6     -323.257     125.512     1179.72     -31.3507     -14.5985     -15.7634     38.0062
-22.4941     -64.4241     31.7409     75.412     -770.402     -838.512     762.065     1370.18     -17.3523     -50.3773     25.5827     59.1054     -768.357     -834.829     759.64     1365.42
58.959     1133.59     -1150.77     1616.42     18.0515     66.3049     -113.585     132.842     57.4095     1127.68     -1147.15     1609.63     18.9447     70.0471     -117.971     138.501
-64.3252     145.021     116.835     197.084     -608.075     860.496     492.253     1162.99     -64.6356     145.816     117.206     197.932     -557.287     789.71     452.123     1067.06
-9.97695     326.891     54.7592     331.63     177.535     878.427     165.127     911.287     171.397     844.454     159.012     876.222     -10.0688     328.076     55.5587     332.9
-263.76     740.789     -450.32     906.172     -53.9622     421.199     -255.242     495.472     -263.258     741.288     -449.977     906.252     -53.9417     421.422     -255.319     495.675
-493.595     -474.782     466.03     828.408     -458.573     -288.306     361.833     651.426     -494.22     -475.348     466.829     829.541     -457.54     -287.895     361.643     650.394
887.772     755.908     3.437     1166.01     20.3177     34.3783     -18.7618     44.3816     886.132     755.477     3.76097     1164.47     22.3213     35.8219     -19.4709     46.4819
729.442     551.962     -0.834961     914.752     191.144     227.385     24.7421     298.119     725.922     548.993     -2.28599     910.143     119.322     139.687     13.8502     184.233
-792.918     -770.494     -965.424     1467.8     -61.3336     -84.0859     -50.4435     115.758     -795.181     -771.552     -965.975     1469.94     -60.0855     -82.4038     -49.1458     113.208
-297.995     1064.27     -439.032     1189.22     -3.4467     105.148     -74.5799     129.047     -297.874     1065.19     -439.598     1190.21     -2.84647     106.589     -75.8065     130.828
934.016     224.907     141.875     971.144     252.789     38.0585     -22.5046     256.671     938.806     226.851     141.845     976.186     249.221     37.2303     -22.2846     252.97
-75.2893     -38.9409     27.155     89.1364     -836.359     -770.819     23.2025     1137.64     -75.1025     -38.7595     26.9117     88.6957     -837.467     -769.706     24.8537     1137.72
235.011     -804.557     -134.292     848.881     92.4652     -363.476     22.2926     375.745     235.747     -806.719     -134.31     851.123     91.8814     -361.999     22.3224     374.144
-118.581     -78.7865     108.827     179.263     -697.602     -815.924     1042.45     1496.36     -122.578     -82.4011     114.7     187.006     -693.421     -814.705     1039.06     1491.38
-14.5332     -13.2923     -17.3979     26.7138     -1181.35     -177.117     -335.194     1240.7     -1183     -176.309     -334.798     1242.04     -13.8126     -13.5902     -16.1093     25.199
