px(1, true)   py(1, true)   pz(1, true)   E(1, true)  px(2, true)   py(2, true)   pz(2, true)   E(2, true)   px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-57.5466     864.394     1185.26     1468.11     -57.8519     129.869     183.341     232.055     -56.7519     128.795     182.115     230.237     -58.5389     865.317     1185.93     1469.36
-91.2541     152.235     158.153     237.778     -289.587     774.398     462.678     947.443     -93.4631     158.707     162.242     245.678     -201.467     539.233     323.024     660.152
580.203     -152.74     -16.4521     600.215     408.652     -82.7581     -113.625     432.18     580.181     -152.695     -16.8282     600.229     408.674     -82.8026     -113.249     432.166
197.14     530.823     -330.565     655.693     190.294     404.986     -389.855     593.494     133.341     280.818     -270.263     412.051     195.415     528.087     -329.433     652.415
162.016     -27.6402     50.9754     172.148     813.913     -222.92     560.314     1012.98     160.7     -27.3902     51.0733     170.986     815.221     -223.174     560.216     1014.13
343.233     51.8365     -157.405     381.176     663.791     53.0889     -127.508     678.025     668.251     53.317     -129.943     683.032     212.676     32.781     -97.4402     236.371
-340.856     -444.719     -480.755     738.314     -353.357     -278.849     -383.386     591.292     -340.128     -442.361     -478.58     735.247     -340.321     -270.262     -370.49     571.199
534.317     77.6043     612.381     816.426     448.325     183.238     561.383     741.448     452.962     183.57     566.84     748.571     530.067     77.4953     607.645     810.151
-230.887     -450.277     -193.123     541.643     -282.878     -420.676     -80.1675     513.262     -279.812     -416.322     -79.4797     507.949     -233.892     -454.465     -193.622     546.663
349.747     -114.687     -191.372     414.877     610.986     -196.987     -157.773     661.078     487.806     -157.055     -126.673     527.945     349.038     -114.721     -190.772     414.05
-237.783     -739.177     598.445     980.348     -90.5049     -208.501     101.058     248.797     -238.449     -739.398     598.47     980.711     -89.8588     -208.209     100.991     248.349
-35.0115     109.36     -234.867     261.479     -369.796     812.214     -1185.68     1484.02     -35.5782     109.667     -234.378     261.326     -369.229     811.907     -1186.17     1484.17
-280.251     562.524     116.125     639.126     -176.185     340.444     -26.4636     384.274     -177.002     341.511     -25.7893     385.606     -279.437     561.508     115.46     637.846
126.32     466.573     441.514     654.679     13.2648     533.943     448.701     697.586     126.017     466.194     440.746     653.846     13.5676     534.322     449.469     698.419
-43.4731     63.4406     -25.3426     81.1166     -289.532     879.745     -689.522     1154.66     -43.3032     64.4415     -26.4925     82.2551     -258.805     785.717     -615.495     1031.37
-36.201     -36.3073     44.4679     68.038     -220.59     -951.347     895.821     1325.23     -34.8715     -36.9606     45.7066     68.7443     -220.334     -949.004     893.557     1321.99
-415.195     470.735     574.477     850.897     -323.252     223.167     327.182     511.24     -240.001     168.13     244.925     381.978     -414.082     468.681     572.5     847.977
228.209     -98.501     -3.97833     248.638     592.73     -489.126     -45.9202     769.873     590.535     -487.093     -45.873     766.942     230.404     -100.534     -4.02558     251.569
581.371     278.37     -588.047     872.527     292.175     235.84     -292.653     476.084     230.519     184.777     -229.542     374.206     585.072     281.349     -591.153     878.117
329.974     350.786     755.807     896.215     442.235     303.945     727.557     904.056     304.161     322.746     694.763     824.281     447.028     309.243     739.207     917.69
-219.431     467.403     -235.76     567.645     -164.9     457.412     -352.064     600.325     -167.968     464.156     -354.754     608.09     -216.363     460.66     -233.069     559.88
-170.423     268.353     364.327     483.544     -338.776     602.292     1094.66     1294.54     -135.887     211.204     287.948     382.128     -339.323     603.644     1095.86     1296.35
61.8384     98.4383     -124.077     170.095     211.811     871.367     -1256.12     1543.37     61.6461     99.2467     -124.982     171.181     207.363     852.482     -1228.6     1509.78
721.606     682.745     -108.734     999.351     24.5332     -0.0255765     -8.56033     26.4234     13.472     -1.36853     -6.10714     14.9841     721.529     682.374     -108.714     999.112
