px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-37.2762     -24.9435     44.7151     63.5962     35.322     -81.3144     363.498     374.236
-11.1351     51.8339     -75.6126     92.6772     60.1774     21.0781     -4.69808     64.3135
36.7207     -15.2478     -14.2887     42.5844     -88.2664     -89.7657     -106.273     164.852
56.3085     10.5287     45.589     73.4137     -4.94153     -97.657     117.138     152.896
0.307955     -26.1473     -14.6075     30.2372     -33.0932     130.677     -128.455     186.38
-6.92295     46.9523     -57.3213     74.5971     -98.9405     -16.3694     -2.05565     100.479
-68.4891     -40.2298     -104.637     131.833     46.682     -72.1073     -181.611     201.082
35.4472     34.0933     112.368     122.774     15.0914     60.3806     917.872     919.998
13.4509     23.0513     17.4983     32.0986     7.70683     76.8442     -151.455     170.135
-23.3055     -34.956     101.168     109.674     71.4807     -58.9267     28.6348     97.2482
25.1841     16.0056     -13.1967     32.7977     -120.131     50.2828     -11.9284     130.996
-34.9353     -44.4769     182.678     191.476     -49.3877     71.8285     304.243     316.509
-31.2687     8.97594     -126.071     130.272     91.9935     87.6348     -682.051     693.819
4.72204     -27.6066     -67.166     72.7955     -40.3966     43.583     -107.098     122.71
-15.4449     -57.6677     60.8527     85.3803     -79.3997     -4.22189     305.454     315.771
52.8361     19.9254     -54.3538     78.6201     39.3142     47.7406     59.3289     85.8451
29.6492     -68.5194     114.039     136.626     82.1152     31.5063     61.8174     107.811
-1.26236     -25.1344     0.0423531     25.3857     81.3187     -7.12922     111.895     138.629
-22.1394     6.54525     7.43396     24.5171     98.1338     35.2254     -62.1398     121.613
29.5553     9.51716     -140.269     143.709     -58.6477     77.5966     -110.139     147.048
-11.7221     51.5247     182.266     189.87     58.3273     36.5581     39.352     79.5258
-22.0218     -45.177     -113.395     124.156     84.3753     -9.95194     -243.045     257.511
-20.5132     11.844     31.9627     39.8594     86.9525     -97.3812     225.359     260.733
16.2401     66.5867     4.68085     68.9485     78.7313     -18.7997     -61.1519     101.731
-25.5966     72.6118     36.2897     85.4055     80.1603     22.4508     20.702     86.1069
40.6726     -57.8155     53.6278     88.9062     59.8744     43.5721     166.48     182.387
23.8001     -14.053     2.30563     28.2704     79.9582     -5.51769     318.002     328.013
-30.1803     -46.106     2.18635     55.419     12.8032     -57.4553     170.89     180.835
21.7529     15.4055     -136.375     139.082     -37.3089     -105.951     -778.659     786.752
31.2005     7.88886     -983.87     984.409     18.6904     77.5444     -429.763     437.166
-15.4613     -20.6749     -47.8683     54.5734     -4.47256     141.204     -258.355     294.638
-2.80887     -65.7835     -3.54224     66.1578     -72.8748     13.9157     30.7761     80.3832
6.38726     36.3705     3.281     37.3928     -44.1408     65.0584     250.656     262.81
-23.103     -9.65288     -124.728     127.246     -66.6683     56.1869     -54.6115     103.552
38.2169     28.9213     -76.7459     90.6354     40.1332     -55.0977     -11.8989     69.3226
-24.6646     -4.30964     13.0355     28.615     59.0412     74.433     -11.6226     95.8615
-30.0462     24.8448     -4.47146     39.5968     -61.3466     19.6307     215.133     224.65
13.5184     -39.907     15.1309     44.9292     -70.1194     -27.4313     145.887     164.565
-9.06119     -58.1354     366.377     371.15     95.4748     13.513     540.975     549.526
10.3416     -45.3398     -196.012     201.552     -109.134     12.0957     -380.249     395.827
-37.4329     -3.76082     200.232     203.786     44.5742     -107.617     1130.54     1136.55
-19.4298     -23.6808     -26.4731     40.6765     107.707     -23.8968     25.7241     113.423
-7.95838     -25.5351     48.1193     55.2403     1.73224     -74.2903     1120.85     1123.35
12.76     -28.3968     -3.34243     31.9395     -84.1284     -54.0748     186.874     212.093
-5.14005     -39.8873     -170.893     175.639     -104.046     24.2905     -146.317     181.378
31.7361     -1.87247     120.201     124.424     -0.631835     -107.728     95.4119     144.042
-0.00917746     -39.771     -99.902     107.692     -100.764     49.4626     -136.834     177.117
-19.3881     53.8519     -210.228     217.94     -78.2107     -45.5504     -169.241     192.052
-12.0568     -33.3311     5.03867     36.3302     -73.7305     40.6788     -85.5649     120.154
24.4208     -39.718     90.0504     101.542     -106.283     -22.6106     382.877     398.09
-28.3826     11.2415     87.3798     92.7063     125.876     29.1631     264.367     294.356
-18.0832     34.7067     443.972     445.723     68.7973     46.8367     257.947     271.167
34.084     -2.53593     -7.38631     35.6846     -2.82004     83.1199     -89.8301     122.825
-58.7245     -5.21683     -33.5818     67.958     4.02784     100.297     -26.1371     103.972
20.4831     -13.1378     -319.931     320.888     29.8349     103.422     -363.856     379.551
-16.1654     17.4873     9.27849     25.6865     -8.66882     68.6953     355.873     362.588
10.0318     -33.1501     59.5386     68.9966     -115.995     23.9688     80.4657     143.32
30.0301     -31.0217     -11.8075     45.0872     -102.552     -49.1472     38.3871     120.176
-22.0703     5.3459     61.499     65.5843     11.166     76.0583     12.5237     78.4992
-36.8199     -18.9135     -361.394     363.809     -12.4182     121.984     -805.037     814.344
-55.0403     -34.3941     10.4438     65.9973     46.1826     -60.6101     41.231     86.7858
23.9924     -21.857     -285.103     287.013     70.4553     43.0803     -119.002     144.959
20.3605     14.7449     -176.978     178.793     -128.077     9.30052     -500.748     516.977
10.6615     28.0564     18.6576     35.5511     84.264     34.5316     -141.179     168.168
-47.2098     5.43862     374.843     377.88     -10.0755     -109.048     357.812     374.256
-52.1806     13.5051     0.688277     54.0732     21.1463     93.2298     -64.9197     115.68
-44.0043     -11.8929     -34.9364     57.6778     -16.8584     68.4335     -214.061     225.417
-27.9761     10.0046     27.5678     40.8658     72.9762     -108.498     81.0473     154.104
-52.9227     -29.946     647.162     650.04     -23.6017     66.988     445.883     451.565
-28.9811     10.0584     -14.2034     33.9732     111.691     50.8904     -112.846     166.913
16.943     21.0817     44.5233     52.2611     -95.5664     51.4775     443.345     456.483
5.1342     -21.7668     -1.65652     22.7859     2.5861     123.426     -129.611     179.105
-5.06748     48.7901     119.193     128.995     -95.1795     9.00788     51.8403     108.944
33.3281     -20.0845     243.286     246.456     -104.952     -55.4871     451.469     466.877
-2.88721     -26.2389     4.28351     27.1571     -51.2421     -44.1558     -205.38     216.329
-45.4672     -40.8889     722.576     725.176     -58.4934     46.5382     274.873     284.933
-37.7312     40.426     -369.978     374.13     -53.9206     -64.3272     -276.686     289.186
6.20551     -31.8215     17.1253     36.9672     74.8018     -40.2948     394.692     403.781
5.95293     20.5893     -144.469     146.093     -98.6702     -90.6771     -1086.89     1095.15
-23.4913     -1.21674     -20.2597     31.2028     119.739     21.8196     -222.81     253.984
-51.2198     6.33555     295.761     300.265     17.0737     -89.496     714.854     720.663
-5.51829     33.9629     66.549     75.0916     -100.859     -71.4551     233.651     264.459
-33.2572     17.9235     -1.8412     38.0985     5.50471     72.5923     -211.148     223.443
-16.6383     -30.8369     22.5557     41.855     63.3095     -37.0414     143.828     161.666
17.5701     51.6786     -214.857     221.784     -96.769     17.6528     -243.371     262.591
-26.3445     21.3587     -49.4172     60.119     13.9099     90.5335     43.7628     101.887
54.2554     -43.404     -239.242     249.213     47.0321     72.145     -522.104     529.191
-61.7843     17.5024     490.397     494.613     -36.168     -72.3375     225.95     240.065
-75.4236     -23.1745     -73.2001     107.844     -11.9618     78.923     -53.3933     96.2776
7.72519     -60.7304     -28.757     67.8656     -77.2682     -24.7051     58.1897     100.042
-1.90174     -50.5454     -125.989     135.857     98.1855     1.38981     -579.184     587.57
25.5915     -30.2775     57.3577     69.9498     45.8162     107.696     109.298     160.305
19.4141     49.3855     -8.15832     53.9654     24.6331     44.4596     159.464     167.453
-23.5783     -47.0829     -52.5257     74.5387     -85.3168     12.8238     37.0413     94.0837
20.958     40.5254     -30.3405     55.1024     -1.33637     58.7193     -384.932     389.439
-24.9866     -14.0969     1223.76     1224.11     -19.4586     100.181     1120.38     1125.03
6.77676     -30.3963     -9.79383     33.2725     -103.425     75.4063     -49.3736     137.497
-23.3895     6.41314     22.9816     33.5008     12.8901     -118.543     381.258     399.506
24.2127     -5.1504     75.1832     79.1999     -9.90615     106.341     73.7808     129.913
7.83808     -21.3472     -114.731     117.026     -102.429     66.3264     -473.299     488.832
17.9879     21.7431     187.631     189.79     -124.214     -16.9089     388.703     408.47
30.1121     -16.978     -45.3685     57.3468     78.2126     -21.8652     -833.777     837.751
-25.5645     74.3389     -98.5559     126.244     81.1566     25.6792     -159.193     180.661
-20.1403     -6.81642     17.6583     27.7942     128.329     46.4491     37.963     141.777
10.9249     -26.3557     -75.1514     80.5167     48.0384     120.498     -453.563     471.781
14.6135     -46.494     167.617     174.666     -56.3159     -2.07718     330.614     335.419
2.1905     46.9101     -7.6349     47.8935     33.8376     46.7193     160.601     170.795
-25.7549     -36.9837     43.9931     63.0747     -74.5471     51.8364     -23.2379     94.2688
-18.2729     37.8137     12.7143     44.2397     -22.0363     69.8469     324.506     332.802
-21.896     49.8142     -29.0716     61.9023     -80.575     -15.8305     -200.542     216.805
-2.24088     61.3627     -184.473     194.514     79.3549     18.702     -734.066     738.608
-22.0238     -12.5799     -185.679     187.463     54.6909     85.8485     -362.308     376.35
-11.6915     32.7275     22.8427     41.9554     -73.2777     -9.1112     281.332     290.965
41.3696     30.8908     -36.0852     63.5636     -69.5707     61.7703     8.10912     93.5925
29.7445     -17.6809     34.2327     48.901     -97.6982     -47.0361     222.985     248.092
-26.1295     13.3587     31.6967     43.4304     19.1572     89.8991     -76.6089     119.784
-7.51294     -43.5121     -383.332     385.95     -84.4305     -20.4123     -166.952     188.305
7.01462     -24.2316     -5.1074     25.942     -90.3552     -21.4324     -74.9859     119.572
42.8465     -16.5632     331.961     335.152     -26.8616     -85.0904     179.21     200.262
-48.1931     -45.1481     -3.34148     66.3192     -56.3681     34.425     93.6754     114.722
19.5867     4.15383     35.6178     41.2233     -143.392     -5.944     211.008     255.264
51.9253     46.3993     -288.882     297.255     52.0138     -64.8798     -581.43     587.368
-17.6132     47.2915     158.184     166.133     101.063     9.86327     202.313     226.44
40.5781     24.3171     209.031     214.374     -92.3178     69.6159     559.515     571.437
41.8859     23.0466     30.4913     56.874     -5.22932     75.8889     297.707     307.352
-26.1872     70.1696     371.497     379.007     -65.3603     -39.2014     291.411     301.296
20.7991     1.27358     33.2264     39.3022     -99.1115     -90.2732     177.715     222.685
12.3244     -71.2156     21.4472     75.7269     73.4884     6.90691     -46.9952     87.7354
-8.09036     -25.5938     586.471     587.115     104.265     -20.2437     532.619     543.163
20.5173     18.256     -6.16115     28.3939     -24.4101     95.5058     -314.204     329.348
-43.7692     10.2023     -104.478     113.982     74.0341     85.4009     -295.615     316.555
18.8492     10.353     84.4765     87.2277     32.7033     41.4274     -6.09198     53.2895
-10.3261     -19.1943     26.3698     34.5306     72.2356     114.305     382.854     406.207
-20.3797     -52.3347     84.9612     101.955     -82.4255     57.4541     112.954     151.218
